scheduler;safe_oracles;use_case;use_idlesim;unsafe_oracles;taskset_file;taskset_position;U;Uv;nbt;EDFVD_test;probability_of_HI;min_period;max_period;timeout;is_safe;automaton_depth;visited_count;duration_ns
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;73;0.5;0.4974974083311705;5.0;1.0;0.5;5.0;100.0;False;True;65;2261871;21383288933
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;114;0.5;0.5012050327839801;5.0;1.0;0.5;5.0;150.0;False;True;34;346829;2785904240
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;113;0.5;0.4971531917208192;5.0;1.0;0.5;5.0;150.0;False;True;93;805614;6316019961
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;117;0.5;0.4976430225355437;5.0;1.0;0.5;5.0;150.0;False;True;32;10415;51513081
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;118;0.5;0.4974177170868347;5.0;1.0;0.5;5.0;150.0;False;True;12;15131;48663162
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;94;0.5;0.5017991407089151;5.0;1.0;0.5;5.0;100.0;False;True;94;1871692;18390746379
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;120;0.5;0.504364698778062;5.0;1.0;0.5;5.0;150.0;False;True;24;699;3263960
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;51;0.5;0.5046218149666426;5.0;1.0;0.5;5.0;100.0;False;True;38;2603516;25652159347
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;122;0.5;0.5002297582942744;5.0;1.0;0.5;5.0;150.0;False;True;55;749;1960190
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;109;0.5;0.4950273518070128;5.0;1.0;0.5;5.0;150.0;False;True;33;1149963;11749782964
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;123;0.5;0.4965296198054819;5.0;1.0;0.5;5.0;150.0;False;True;28;278860;1944692212
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;104;0.5;0.5049146367809085;5.0;1.0;0.5;5.0;150.0;False;True;38;2300144;22648662490
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;103;0.5;0.4955002502099966;5.0;1.0;0.5;5.0;150.0;False;True;79;2838613;27963679205
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;116;0.5;0.4971245421245421;5.0;1.0;0.5;5.0;150.0;False;True;104;1431223;13656189286
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;87;0.5;0.4974297415619262;5.0;1.0;0.5;5.0;100.0;False;True;50;3249374;36335368492
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;129;0.5;0.4968038559794498;5.0;1.0;0.5;5.0;150.0;False;True;42;44107;254849889
